channelID	time	energy	tot
342	679188126600	2.12526	303400
35	679427012156	30.4993	297843
349	679427012696	7.13383	302303
33	679427014346	2.33281	300653
46	679504072009	22.0774	297991
343	679504073598	3.62912	301402
35	679514882154	3.45327	302845
349	679514879385	9.08834	300615
343	679615370057	18.7146	299943
46	679615373566	3.28651	301434
343	679646105842	7.48655	299157
46	679646107566	2.74778	302434
349	679971604321	6.10653	300679
35	679971603898	12.4795	301102
35	679991836480	6.80265	298519
349	679991839726	1.45846	305274
343	680020845123	2.94699	304876
46	680020854991	1.15597	305008
47	680133212206	1.832	302794
342	680133217696	1.34513	307303
46	680194861160	4.80964	298840
343	680194861169	3.84215	303831
349	680199869290	2.11491	305709
35	680199874356	1.78986	305644
342	680250685288	3.52551	304712
47	680250684773	7.28704	300227
47	680321071483	3.245	303516
342	680321078122	1.26842	306877
46	680574320379	2.63702	304621
343	680574318533	6.18423	301467
349	680592035148	7.98035	299851
35	680592040023	1.70789	304976
35	680925916419	1.77114	303580
349	680925913726	1.57708	306274
343	680999695187	2.65518	304813
46	680999694832	3.13301	305167
35	681046595918	11.2681	299081
349	681046602815	1.43816	307185
35	681050016267	2.83205	303733
349	681050014118	10.322	300882
342	681175869672	3.15077	305327
47	681175869205	14.2897	300794
342	681418628153	4.14851	301847
47	681418628387	5.13356	301612
35	681501876210	6.97377	298790
349	681501874881	13.0738	300118
46	681553197296	5.96458	302703
343	681553197739	3.7027	302260
342	681553297831	8.07735	302169
47	681553302397	1.67101	302602
35	681574876061	3.96941	303938
349	681574875588	2.90411	304412
47	681631520064	1.94064	304935
342	681631522059	1.35757	302940
342	681892681722	2.40697	303278
47	681892689034	1.73209	305965
342	681935759297	6.75906	300702
47	681935759036	16.0113	300964
349	682339307144	2.51733	302855
35	682339304535	17.7844	300465
33	682339308379	1.53188	301620
47	682575795160	7.87108	299840
342	682575796803	2.70491	303196
35	682643849455	9.60339	300545
349	682643860655	1.73535	304345
33	682643868440	0.348248	306559
342	682664544546	5.78974	300453
47	682664545918	2.1	304081
343	682664546876	2.52671	303123
349	682689088398	2.35965	306602
35	682689089333	1.85616	305666
35	682877044932	11.5243	300068
349	682877044920	7.57555	300079
46	682881135027	9.25404	299973
343	682881134231	9.81976	300769
46	682954309109	1.05999	305891
343	682954309324	1.54849	305675
46	683005977853	1.47362	302146
343	683005973767	3.35436	301232
343	683135011966	13.8805	298034
46	683135013432	4.30293	301567
342	683195792059	5.83436	302940
47	683195793582	3.53997	301418
342	683376745001	15.1931	299998
